full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Moritz Wagner,Bos,F-C,24.06,9,6.8,2,0.5,8,0.25,6,0.333,1.2,2.1,0.7,0,0.11,1,7.1
Moritz Wagner,Orl,F-C,24.06,11,26,33,0.879,50,0.44,43,0.372,11,4.9,1.1,0.36,0.82,1.18,6
Lonnie Walker IV,San,G-F,22.42,60,25.4,70,0.814,327,0.477,282,0.355,11.2,2.6,1.7,0.48,0.25,1.08,5.8
Kemba Walker,Bos,G,31.03,43,31.8,149,0.899,323,0.486,353,0.36,19.3,4,4.9,1.12,0.28,2.05,9.1
John Wall,Hou,G,30.69,40,32.2,211,0.749,477,0.449,249,0.317,20.6,3.2,6.9,1.05,0.78,3.53,9.6
Brad Wanamaker,Gol,G,31.81,39,16,56,0.893,112,0.429,61,0.213,4.7,1.7,2.5,0.67,0.15,0.95,6.8
Brad Wanamaker,Cha,G,31.81,22,19.5,45,0.889,102,0.5,24,0.125,6.9,1.8,3.4,0.73,0.23,1.55,7.1
T.J. Warren,Ind,F,27.7,4,29.4,10,0.8,44,0.614,7,0,15.5,3.5,1.3,0.5,0,1,5.6
P.J. Washington,Cha,F,22.73,64,30.5,145,0.745,397,0.479,290,0.386,12.9,6.5,2.5,1.09,1.23,2,7.8
Yuta Watanabe,Tor,G-F,26.59,50,14.5,29,0.828,90,0.478,90,0.4,4.4,3.2,0.8,0.52,0.4,0.38,6.2
Tremont Waters,Bos,G,23.35,26,9.1,17,0.941,46,0.413,38,0.395,3.8,0.8,2.4,0.58,0.04,1.04,8.5
Paul Watson,Tor,G,26.38,27,11,8,0.625,18,0.444,64,0.469,4.1,1.7,0.6,0.19,0.11,0.33,5.9
Quinndary Weatherspoon,San,G,24.68,20,6.1,16,0.813,29,0.517,6,0.167,2.3,0.6,0.4,0.4,0.1,0.5,5.4
Russell Westbrook,Was,G,32.51,65,36.4,413,0.656,965,0.475,273,0.315,22.2,11.5,11.7,1.35,0.35,4.8,15.8
Coby White,Chi,G,21.25,69,31.2,142,0.901,448,0.473,454,0.359,15.1,4.1,4.8,0.55,0.22,2.26,8.6
Derrick White,San,G,26.87,36,29.5,114,0.851,210,0.486,243,0.346,15.4,3,3.5,0.72,1,1.25,7.4
Hassan Whiteside,Sac,C,31.93,36,15.2,79,0.519,223,0.565,1,0,8.1,6,0.6,0.25,1.28,1.11,8.1
Greg Whittington,Den,F,28.27,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0
Andrew Wiggins,Gol,F,26.23,71,33.3,238,0.714,690,0.529,368,0.38,18.6,4.9,2.4,0.93,0.99,1.76,7.2
Robert Williams III,Bos,C-F,23.58,52,18.9,73,0.616,256,0.727,2,0,8,6.9,1.8,0.83,1.77,1,9.8
Grant Williams,Bos,F,22.46,63,18.1,51,0.588,118,0.508,129,0.372,4.7,2.8,1,0.51,0.37,0.89,5.2
Kenrich Williams,Okc,G-F,26.46,66,21.6,63,0.571,294,0.568,117,0.444,8,4.1,2.3,0.86,0.26,1.15,7.8
Lou Williams,Lac,G,34.55,42,21.9,119,0.866,311,0.437,119,0.378,12.1,2.1,3.4,0.93,0.1,1.57,8.1
Lou Williams,Atl,G,34.55,24,21.1,54,0.87,163,0.368,54,0.444,10,2.1,3.4,0.33,0.08,1.71,7.9
Zion Williamson,Nor,F,20.86,61,33.2,529,0.698,1003,0.622,34,0.294,27,7.2,3.7,0.93,0.64,2.74,10.8
Patrick Williams,Chi,F,19.72,71,27.9,125,0.728,390,0.515,138,0.391,9.2,4.6,1.4,0.9,0.65,1.38,5.6
D.J. Wilson,Mil,F,25.24,12,8.7,2,0.5,15,0.4,28,0.357,3.6,2.1,0.3,0.08,0.33,0.33,6
D.J. Wilson,Hou,F-C,25.24,23,14.3,23,0.696,66,0.485,59,0.339,6.1,3.8,0.9,0.43,0.52,0.78,7.7
Dylan Windler,Cle,G-F,24.65,31,16.5,27,0.778,53,0.585,78,0.333,5.2,3.5,1.1,0.61,0.39,1.03,6.6
Justise Winslow,Mem,F-G,25.14,26,19.5,35,0.571,156,0.41,54,0.185,6.8,4.5,1.9,0.58,0.46,1.42,7.9
Cassius Winston,Was,G,23.21,22,4.5,6,0.833,16,0.375,17,0.471,1.9,0.4,0.5,0.09,0.05,0.23,6.4
James Wiseman,Gol,C,20.13,39,21.4,86,0.628,330,0.542,38,0.316,11.5,5.8,0.7,0.28,0.92,1.54,6.7
Robert Woodard II,Sac,F,21.65,13,3.5,8,0.375,14,0.5,6,0.167,1.5,1.2,0.2,0,0.23,0.08,8.1
Christian Wood,Hou,F,25.64,41,32.3,198,0.631,434,0.581,206,0.374,21,9.6,1.7,0.83,1.17,1.95,8.7
Delon Wright,Det,G,29.06,36,29.2,90,0.789,204,0.515,89,0.348,10.4,4.6,5,1.58,0.53,1.33,8.5
Delon Wright,Sac,G,29.06,27,25.8,36,0.833,142,0.5,83,0.398,10,3.9,3.6,1.56,0.37,1.3,8.1
Thaddeus Young,Chi,F,32.9,68,24.3,113,0.628,618,0.579,45,0.267,12.1,6.2,4.3,1.09,0.59,2,11.3
Trae Young,Atl,G,22.66,63,33.7,546,0.886,715,0.491,397,0.343,25.3,3.9,9.4,0.84,0.17,4.14,11.6
Cody Zeller,Cha,F-C,28.61,48,20.9,119,0.714,296,0.598,28,0.143,9.4,6.8,1.8,0.56,0.35,1.06,9.3
Ivica Zubac,Lac,C,24.16,72,22.3,171,0.789,390,0.656,4,0.25,9,7.2,1.3,0.33,0.86,1.13,7.9
