full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Mike James,Bro,G,30.75,13,18.2,27,0.778,61,0.377,31,0.355,7.7,2.5,4.2,0.46,0.08,1.54,9.5
DaQuan Jeffries,Sac,G-F,23.71,18,12.9,7,0.857,29,0.517,28,0.321,3.5,1.6,0.3,0.39,0.22,0.44,3.7
DaQuan Jeffries,Hou,G-F,23.71,13,20.1,1,1,24,0.625,39,0.282,4.9,3.2,1.2,0.62,0.46,0.46,5.3
Ty Jerome,Okc,G-F,23.86,33,23.9,34,0.765,119,0.479,168,0.423,10.7,2.8,3.6,0.61,0.18,1.42,8
Isaiah Joe,Phi,G,21.87,41,9.3,24,0.75,27,0.333,106,0.368,3.7,0.9,0.5,0.29,0.1,0.27,5.1
Alize Johnson,Bro,F,25.07,18,10.5,13,1,62,0.629,6,0.167,5.2,5,0.8,0.28,0.28,0.5,10.5
Cameron Johnson,Pho,F,25.2,60,24,59,0.847,148,0.581,335,0.349,9.6,3.3,1.4,0.62,0.27,0.67,5.9
James Johnson,Dal,F,34.24,29,17.4,29,0.586,85,0.612,60,0.25,5.7,3,1.7,0.83,0.79,0.93,7.1
James Johnson,Nor,F,34.24,22,24.5,47,0.596,122,0.516,60,0.267,9.2,4.1,2.2,0.82,0.86,1.27,7.1
Keldon Johnson,San,F-G,21.6,69,28.5,196,0.74,524,0.531,181,0.331,12.8,6,1.8,0.58,0.35,1.13,7.3
Stanley Johnson,Tor,F-G,24.97,61,16.5,55,0.8,96,0.458,137,0.328,4.4,2.5,1.5,0.85,0.31,0.89,6.2
Tyler Johnson,Bro,G,29.03,39,17.5,21,0.857,51,0.471,132,0.364,5.4,2,1.2,0.36,0,0.44,5.4
Nikola Jokic,Den,C,26.24,72,34.6,394,0.868,1056,0.606,237,0.388,26.4,10.8,8.3,1.32,0.67,3.08,15.4
Derrick Jones Jr.,Por,F,24.25,58,22.7,91,0.648,168,0.619,136,0.316,6.8,3.5,0.8,0.64,0.93,0.55,4.7
Damian Jones,Pho,C,25.88,14,6.7,11,0.545,15,0.533,1,0,1.6,1.3,0.3,0.07,0.36,0.43,5.1
Damian Jones,Lal,C,25.88,8,14,12,0.917,17,0.941,0,0,5.4,3.3,0.1,0.13,0.88,0.63,3.5
Damian Jones,Sac,C,25.88,17,20,35,0.714,66,0.682,4,0.25,6.9,4.5,1.4,0.53,1,0.88,7
Mason Jones,Hou,G,22.82,26,11.8,57,0.614,50,0.48,64,0.359,5.8,2,1.5,0.23,0.04,1.08,8.8
Mason Jones,Phi,G,22.82,6,4.5,7,0.714,7,0.571,2,0.5,2.7,0.7,0.5,0.17,0,0.17,8.7
Tre Jones,San,G,21.35,37,7.3,19,0.895,73,0.466,5,0.6,2.5,0.6,1.1,0.22,0,0.35,6.5
Tyus Jones,Mem,G,25.02,70,17.5,45,0.911,273,0.487,140,0.321,6.3,2,3.7,0.9,0.09,0.69,8.2
DeAndre Jordan,Bro,C,32.82,57,21.9,92,0.5,249,0.763,1,0,7.5,7.5,1.6,0.3,1.14,1.49,8.2
Cory Joseph,Sac,G,29.74,44,21.5,47,0.766,156,0.513,94,0.33,6.6,2.3,2.5,0.86,0.2,1,6.3
Cory Joseph,Det,G,29.74,19,26.4,41,0.878,138,0.543,38,0.368,12,3.2,5.5,1.21,0.47,1.79,9
Mfiondu Kabengele,Lac,F-C,23.76,23,4.1,6,0.833,14,0.357,18,0.222,1.2,0.6,0.2,0.09,0.13,0.26,5.1
Mfiondu Kabengele,Cle,F-C,23.76,16,11.6,14,0.786,25,0.6,32,0.281,4.3,2.9,0.8,0.38,0.63,0.56,7.4
Frank Kaminsky,Pho,F-C,28.12,47,15.2,60,0.617,172,0.523,85,0.365,6.6,4,1.7,0.3,0.36,0.47,9.4
Enes Kanter,Por,C,28.99,72,24.4,164,0.774,557,0.607,4,0.25,11.2,11,1.2,0.46,0.67,1.08,8.7
Luke Kennard,Lac,G,24.89,63,19.6,31,0.839,190,0.511,224,0.446,8.3,2.6,1.7,0.35,0.14,0.76,6.8
Louis King,Sac,F,22.11,6,14.2,6,1,23,0.565,11,0.364,7.3,3,1.5,1.17,0.5,0.67,9
Maxi Kleber,Dal,F,29.3,50,26.8,37,0.919,63,0.46,212,0.41,7.1,5.2,1.4,0.48,0.7,0.6,5.6
Nathan Knight,Atl,F-C,23.66,33,8.4,55,0.8,66,0.47,33,0.182,3.8,2.2,0.2,0.27,0.3,0.45,5.7
Kevin Knox II,Nyk,F,21.77,42,11.1,20,0.8,54,0.389,89,0.393,3.9,1.5,0.5,0.29,0.14,0.4,5.2
John Konchar,Mem,G,25.15,43,13.4,30,0.833,82,0.585,56,0.375,4.3,3,1.1,0.7,0.21,0.42,7.2
Furkan Korkmaz,Phi,G-F,23.81,55,19.3,82,0.732,155,0.445,269,0.375,9.1,2.1,1.5,0.89,0.16,0.84,6.3
Luke Kornet,Chi,F-C,25.84,13,7.2,4,0.5,4,0.75,23,0.261,2,1.2,0.3,0.15,0.54,0.08,5
Luke Kornet,Bos,F-C,25.84,18,14.1,2,0.5,38,0.684,36,0.25,4.4,2.9,1.1,0.11,1.39,0.33,6.8
Rodions Kurucs,Bro,F,23.28,5,3.2,0,0,1,0,2,0.5,0.6,0.6,0.4,0,0,0,6.6
Rodions Kurucs,Hou,F,23.28,11,6.8,2,0.5,6,0.5,15,0.133,1.2,1,0.4,0.55,0.36,0.82,4.6
Rodions Kurucs,Mil,F,23.28,5,6.7,2,1,4,0.5,4,0.75,3,1.8,0.8,0.6,0,0.8,9.7
Kyle Kuzma,Lal,F,25.81,68,28.7,97,0.691,377,0.525,380,0.361,12.9,6.1,1.9,0.5,0.6,1.66,7.4
Anthony Lamb,Hou,F,23.32,24,17.3,21,0.857,47,0.489,71,0.324,5.5,2.9,1,0.25,0.21,0.79,5.8
Jeremy Lamb,Ind,G-F,28.96,36,21.3,75,0.947,148,0.459,128,0.406,10.1,3.6,1.5,0.94,0.64,0.61,7.1
Romeo Langford,Bos,G-F,21.56,18,15.7,12,0.75,41,0.39,18,0.278,3.1,1.9,0.7,0.33,0.22,0.56,4.1
Zach LaVine,Chi,G-F,26.19,58,35.1,298,0.849,646,0.571,477,0.419,27.4,5,4.9,0.79,0.47,3.5,10
Jake Layman,Min,F,27.2,45,13.9,37,0.703,106,0.642,78,0.295,5.1,1.5,0.6,0.64,0.42,0.58,4.8
T.J. Leaf,Por,F,24.05,7,5.1,2,1,10,0.5,0,0,1.7,0.7,0.1,0.29,0.14,0.29,3.9
Jalen Lecque,Ind,G,20.92,4,3,3,1,8,0.125,1,0,1.3,1.3,0.5,0,0,0,12.6
Damion Lee,Gol,G-F,28.57,57,18.9,44,0.909,80,0.638,194,0.397,6.5,3.2,1.3,0.67,0.14,0.53,6.4
Saben Lee,Det,G,21.9,48,16.3,89,0.685,187,0.487,23,0.348,5.6,2,3.6,0.67,0.27,1.15,8.4
Alex Len,Tor,C,27.92,7,10.8,6,0.5,4,0.5,6,0.5,2.3,1.6,0.4,0.14,0.86,1.14,4.2
Alex Len,Was,C,27.92,57,15.8,110,0.636,249,0.647,19,0.263,7.1,4.4,0.8,0.33,1.02,0.82,7.4
Kawhi Leonard,Lac,F,29.88,52,34.1,295,0.885,654,0.557,254,0.398,24.8,6.5,5.2,1.56,0.4,2.02,11.1
Meyers Leonard,Mia,F-C,29.22,3,9.8,2,0.5,0,0,7,0.429,3.3,2.3,0.7,0,0,0.67,7.1
Caris LeVert,Bro,G,26.73,12,27.8,34,0.765,137,0.474,63,0.349,18.5,4.3,6,1.08,0.5,2.17,11.2
Caris LeVert,Ind,G,26.73,35,32.9,146,0.822,419,0.501,195,0.318,20.7,4.6,4.9,1.51,0.69,2.17,9.4
Kira Lewis Jr.,Nor,G,20.11,54,16.7,51,0.843,217,0.415,120,0.333,6.4,1.3,2.3,0.7,0.19,0.63,6.4
Damian Lillard,Por,G,30.84,67,35.8,482,0.927,630,0.519,704,0.391,28.7,4.2,7.5,0.93,0.25,3.03,10.8
Nassir Little,Por,F-G,21.26,48,13.3,45,0.8,87,0.575,80,0.35,4.6,2.7,0.5,0.1,0.27,0.38,5.5
Kevon Looney,Gol,F,25.27,61,19,48,0.646,180,0.578,17,0.235,4.1,5.3,1.9,0.36,0.36,0.61,7.3
Brook Lopez,Mil,C,33.12,70,27.2,142,0.845,359,0.632,281,0.338,12.3,5,0.7,0.57,1.47,0.91,5.2
Robin Lopez,Was,C,33.12,71,19.1,137,0.723,406,0.65,18,0.278,9,3.8,0.8,0.21,0.62,1.06,6.3
Marcos Louzada Silva,Nor,G,20,3,18.8,0,0,5,0.2,8,0.25,2.7,1,1,0.67,0,1,3
Kevin Love,Cle,F-C,32.69,25,24.9,51,0.824,96,0.479,156,0.365,12.2,7.4,2.5,0.64,0.08,1.52,9.8
Kyle Lowry,Tor,G,35.15,46,34.8,160,0.875,265,0.487,331,0.396,17.2,5.3,7.3,1.02,0.26,2.74,10
Timothe Luwawu-Cabarrot,Bro,G-F,26.02,58,18.1,43,0.814,117,0.47,239,0.314,6.4,2.2,1.2,0.57,0.1,0.74,5.7
Trey Lyles,San,F,25.53,23,15.6,23,0.652,50,0.58,40,0.35,5,3.7,0.6,0.26,0.04,0.26,5.7
Will Magnay,Nor,C,22.93,1,3.3,0,0,0,0,1,0,0,0,0,0,0,1,0
Thon Maker,Cle,F-C,20,8,9.6,11,0.909,16,0.625,2,0,3.8,2.3,0.5,0.25,0.5,0.38,6.8
Theo Maledon,Okc,G,19.93,65,27.3,135,0.748,301,0.402,313,0.335,10.1,3.2,3.5,0.85,0.17,2.17,7.1
Karim Mane,Orl,G,21,10,8.8,5,0.8,11,0.182,2,0.5,1.1,1.4,0.4,0,0.2,0.3,3.9
Nico Mannion,Gol,G,20.18,30,12.1,28,0.821,53,0.321,60,0.367,4.1,1.5,2.3,0.53,0.03,1.07,8
Terance Mann,Lac,G-F,24.58,67,18.9,94,0.83,259,0.541,91,0.418,7,3.6,1.6,0.45,0.19,0.6,7.3
Boban Marjanovic,Dal,C,32.75,33,8.2,38,0.816,114,0.535,8,0.125,4.7,3.9,0.3,0.06,0.18,0.36,8.6
Lauri Markkanen,Chi,F-C,23.99,51,25.8,92,0.826,224,0.585,296,0.402,13.6,5.3,0.9,0.51,0.29,1.02,6.2
Naji Marshall,Nor,F,23.31,32,21.9,75,0.707,126,0.421,83,0.349,7.7,4.6,2.8,0.81,0.31,1.19,8.5
Kenyon Martin Jr.,Hou,F,20.36,45,23.7,84,0.714,222,0.572,96,0.365,9.3,5.4,1.1,0.67,0.91,0.84,6.4
Caleb Martin,Cha,F,25.63,53,15.4,64,0.641,131,0.496,125,0.248,5,2.7,1.3,0.7,0.23,0.62,6.7
Cody Martin,Cha,F,25.63,52,16.3,43,0.581,130,0.515,58,0.276,4,3.1,1.7,0.73,0.23,0.77,6.8
Jeremiah Martin,Cle,G,24.91,9,8.4,5,0.2,21,0.286,12,0.25,2.4,0.8,0.4,0.56,0.22,0.67,4.4
Kelan Martin,Ind,F,25.79,35,9.2,10,0.9,78,0.487,60,0.4,4.5,2.2,0.5,0.29,0.29,0.46,7.4
Frank Mason,Orl,G,27.12,4,19.8,7,0.714,19,0.368,5,0.4,6.3,3,3,0,0,1.25,7.8
Garrison Mathews,Was,G,24.56,64,16.2,95,0.884,39,0.538,198,0.384,5.5,1.4,0.4,0.45,0.11,0.16,3.6
Dakota Mathias,Phi,G,25.85,8,15.4,6,0.333,22,0.5,26,0.308,6,0.9,1.6,0.13,0.38,0.13,5.3
Wesley Matthews,Lal,G,34.59,58,19.5,41,0.854,55,0.418,197,0.335,4.8,1.6,0.9,0.64,0.28,0.45,3.9
Tyrese Maxey,Phi,G,20.53,61,15.3,70,0.871,326,0.512,103,0.301,8,1.7,2,0.43,0.21,0.67,7.9
Skylar Mays,Atl,G,23.7,33,8.2,25,0.88,58,0.517,40,0.35,3.8,1.1,0.9,0.42,0.06,0.27,7.6
Patrick McCaw,Tor,G,25.56,5,6.7,3,1,1,1,0,0,1,0.6,0.8,0.4,0,0,4.7
CJ McCollum,Por,G,29.66,47,34,133,0.812,464,0.509,420,0.402,23.1,3.9,4.7,0.94,0.45,1.36,8.8
T.J. McConnell,Ind,G,29.14,69,26,48,0.688,442,0.586,48,0.313,8.6,3.7,6.6,1.86,0.33,1.96,9.1
Jalen McDaniels,Cha,F-C,23.29,47,19.2,64,0.703,179,0.547,105,0.333,7.4,3.6,1.1,0.6,0.4,0.96,6.4
Jaden McDaniels,Min,F,20.63,63,24,45,0.6,169,0.544,198,0.364,6.8,3.7,1.1,0.56,0.95,0.75,5
Doug McDermott,Ind,F,29.37,66,24.5,98,0.816,379,0.641,286,0.388,13.6,3.3,1.3,0.3,0.09,0.8,6.3
Sean McDermott,Mem,F,24.53,18,8.8,8,1,11,0.727,22,0.227,2.2,1.1,0.2,0.11,0.17,0.22,3.6
JaVale McGee,Cle,C-F,33.32,33,15.2,55,0.655,195,0.549,20,0.25,8,5.2,1,0.48,1.21,1.36,9.1
JaVale McGee,Den,C-F,33.32,13,13.5,12,0.667,63,0.508,4,0,5.5,5.3,0.5,0.23,1.08,1.15,7.2
Rodney McGruder,Det,G,29.8,16,12.1,8,0.75,46,0.565,24,0.458,5.7,1.4,1,0.5,0.06,0.44,6.6
Alfonzo McKinnie,Lal,F,28.66,39,6.6,18,0.556,54,0.593,39,0.41,3.1,1.4,0.2,0.18,0,0.13,5.8
Jordan McLaughlin,Min,G,25.1,51,18.4,30,0.767,150,0.447,92,0.359,5,2.1,3.8,1,0.12,1,7.4
Ben McLemore,Hou,G,28.26,32,16.8,32,0.719,58,0.431,166,0.331,7.4,2.1,0.9,0.63,0.09,0.88,5.7
Ben McLemore,Lal,G,28.26,21,17.5,21,0.762,27,0.481,114,0.368,8,1.6,0.5,0.14,0.29,0.71,4.2
Nicolo Melli,Nor,F,30.3,22,11,7,0.857,22,0.364,37,0.189,2,2.6,1.1,0.41,0.05,0.32,6.5
Nicolo Melli,Dal,F,30.3,23,14.1,18,0.722,34,0.441,48,0.333,4,2.8,0.8,0.26,0.13,0.22,5.9
De'Anthony Melton,Mem,G,22.97,52,20.1,51,0.804,182,0.467,211,0.412,9.1,3.1,2.5,1.13,0.6,1.27,8.2
Sam Merrill,Mil,G,25,30,7.8,4,1,25,0.44,47,0.447,3,1,0.7,0.27,0.03,0.33,6.6
Chimezie Metu,Sac,F-C,24.15,36,13.6,43,0.721,142,0.549,37,0.351,6.3,3.1,0.8,0.39,0.53,0.81,7.4
Khris Middleton,Mil,F,29.76,68,33.4,236,0.898,709,0.508,365,0.414,20.4,6,5.4,1.09,0.15,2.6,10.4
Darius Miller,Okc,F,31.16,18,10.9,12,1,6,0.833,42,0.405,4.1,1.3,1.2,0.67,0.28,0.44,6.8
Paul Millsap,Den,F,36.26,56,20.8,98,0.724,258,0.55,143,0.343,9,4.7,1.8,0.91,0.64,0.91,8.2
Patty Mills,San,G,32.76,68,24.8,78,0.91,182,0.5,430,0.374,10.8,1.7,2.4,0.6,0.04,0.96,5.7
Shake Milton,Phi,G-F,24.64,63,23.2,176,0.83,464,0.494,203,0.35,13,2.3,3.1,0.62,0.29,1.63,7.8
Donovan Mitchell,Uta,G,24.69,53,33.4,316,0.845,630,0.476,461,0.386,26.4,4.4,5.2,0.98,0.28,2.77,10.1
Adam Mokoka,Chi,G,22.83,14,4,1,0,9,0.667,10,0.1,1.1,0.4,0.4,0.14,0.07,0.36,5.6
Malik Monk,Cha,G,23.28,42,20.9,72,0.819,187,0.471,212,0.401,11.7,2.4,2.1,0.45,0.1,1.31,7.4
E'Twaun Moore,Pho,G,32.22,27,14.4,14,0.857,86,0.512,35,0.314,4.9,1.7,1.5,0.56,0.19,0.85,6.4
Ja Morant,Mem,G,21.77,63,32.6,372,0.728,716,0.499,241,0.303,19.1,4,7.4,0.9,0.21,3.22,10.1
Juwan Morgan,Uta,F,24.08,29,5.1,7,0.429,17,0.588,13,0.308,1.2,1,0.3,0.14,0.03,0.14,5.6
Marcus Morris Sr.,Lac,F,31.7,57,26.3,89,0.82,288,0.472,296,0.473,13.4,4.1,1,0.6,0.26,1,5.8
Markieff Morris,Lal,F,31.7,61,19.7,50,0.72,169,0.521,209,0.311,6.7,4.4,1.2,0.36,0.31,0.89,6.7
Monte Morris,Den,G,25.89,47,25.5,73,0.795,253,0.534,134,0.381,10.2,2,3.2,0.72,0.28,0.72,6.3
Mychal Mulder,Gol,G,26.93,60,12.8,22,0.636,51,0.667,214,0.397,5.6,1,0.4,0.2,0.2,0.27,4.1
Dejounte Murray,San,G,24.66,67,31.9,134,0.791,775,0.488,199,0.317,15.7,7.1,5.4,1.51,0.1,1.75,10.6
Jamal Murray,Den,G,24.23,48,35.5,153,0.869,476,0.523,316,0.408,21.2,4,4.8,1.33,0.27,2.23,8.4
Mike Muscala,Okc,F-C,29.88,35,18.4,36,0.917,83,0.614,184,0.37,9.7,3.8,0.8,0.23,0.31,0.6,6.7
Svi Mykhailiuk,Det,G-F,23.93,36,17.6,30,0.8,52,0.519,171,0.333,6.9,2.1,1.6,0.75,0.17,1.08,6.5
Svi Mykhailiuk,Okc,G-F,23.93,30,23,20,0.7,140,0.543,143,0.336,10.3,3,1.8,0.8,0.2,1.63,6.6
Abdel Nader,Pho,F,27.64,24,14.8,37,0.757,73,0.534,43,0.419,6.7,2.6,0.8,0.42,0.38,0.79,6.5
Larry Nance Jr.,Cle,F-C,28.37,35,31.2,49,0.612,158,0.551,114,0.36,9.3,6.7,3.1,1.74,0.49,1.57,7.4
Aaron Nesmith,Bos,G-F,21.58,46,14.5,28,0.786,70,0.543,108,0.37,4.7,2.8,0.5,0.33,0.2,0.5,5.2
Raul Neto,Was,G,28.99,64,21.9,85,0.882,283,0.512,164,0.39,8.7,2.4,2.3,1.14,0.09,0.83,6.6
Georges Niang,Uta,F,27.92,72,16,23,0.957,113,0.469,292,0.425,6.9,2.4,0.8,0.36,0.1,0.71,5.9
Zeke Nnaji,Den,F-C,20.35,41,9.5,15,0.8,44,0.591,57,0.421,3.3,1.6,0.2,0.17,0.1,0.17,4.3
Nerlens Noel,Nyk,C-F,27.1,64,24.2,70,0.714,221,0.62,3,0,5.1,6.4,0.7,1.09,2.2,1.02,4.7
Jaylen Nowell,Min,G,21.86,42,18.1,55,0.818,185,0.497,150,0.333,9,2.3,1.5,0.52,0.29,0.67,6.9
Frank Ntilikina,Nyk,G,22.8,33,9.8,18,0.444,31,0.194,48,0.479,2.7,0.9,0.6,0.55,0.12,0.33,4.6
James Nunnally,Nor,F,30.84,9,5.3,2,0.5,1,1,12,0.333,1.7,1,0.3,0,0,0.22,6
Kendrick Nunn,Mia,G,25.79,56,29.5,60,0.933,338,0.583,320,0.381,14.6,3.2,2.6,0.96,0.25,1.43,6.7
Jusuf Nurkic,Por,C,26.73,37,23.8,113,0.619,303,0.525,30,0.4,11.5,9,3.4,1.03,1.08,1.97,11.9
David Nwaba,Hou,G-F,28.34,30,22.6,68,0.691,154,0.578,63,0.27,9.2,3.9,1,1,0.7,0.57,5.8
Jordan Nwora,Mil,F,22.69,30,9.1,25,0.76,73,0.466,62,0.452,5.7,2,0.2,0.53,0.23,0.8,5.8
Semi Ojeleye,Bos,F,26.45,56,17,32,0.75,63,0.492,158,0.367,4.6,2.6,0.7,0.3,0,0.38,4.8
Jahlil Okafor,Det,C-F,25.42,27,12.9,24,0.708,92,0.663,9,0.222,5.4,2.4,0.5,0.22,0.19,0.78,5.8
Chuma Okeke,Orl,F,22.75,45,25.2,40,0.75,183,0.47,141,0.348,7.8,4,2.2,1.07,0.51,0.84,6.5
Josh Okogie,Min,G,22.71,59,20.3,108,0.769,146,0.5,108,0.269,5.4,2.6,1.1,0.92,0.47,0.73,4.9
Onyeka Okongwu,Atl,F-C,20.43,50,12,57,0.632,146,0.658,3,0,4.6,3.3,0.4,0.46,0.66,0.58,6.1
Isaac Okoro,Cle,F-G,20.3,67,32.4,157,0.726,345,0.501,214,0.29,9.6,3.1,1.9,0.93,0.36,1.28,4.7
KZ Okpala,Mia,F-G,22.05,37,12.1,15,0.533,46,0.522,50,0.24,2.5,1.8,0.5,0.27,0.3,0.41,4.3
Victor Oladipo,Ind,G,29.03,9,33.3,37,0.73,83,0.47,69,0.362,20,5.7,4.2,1.67,0.22,2,9.4
Victor Oladipo,Hou,G,29.03,20,33.5,83,0.783,228,0.465,153,0.32,21.2,4.8,5,1.2,0.5,2.55,9.5
Victor Oladipo,Mia,G,29.03,4,27.8,18,0.667,26,0.462,17,0.235,12,3.5,3.5,1.75,0.5,3.5,7.6
Cameron Oliver,Hou,F,20,4,21.9,4,0.25,20,0.75,13,0.308,10.8,5.3,1.3,0.5,1,0.75,7.7
Kelly Olynyk,Mia,F-C,30.08,43,26.9,40,0.775,134,0.634,242,0.318,10,6.1,2.1,0.93,0.6,1.28,7.5
Kelly Olynyk,Hou,F-C,30.08,27,31.1,135,0.844,196,0.643,125,0.392,19,8.4,4.1,1.44,0.59,2.63,11.2
Royce O'Neale,Uta,F,27.95,71,31.6,46,0.848,116,0.586,278,0.385,7,6.8,2.5,0.8,0.45,1.17,6.2
Miye Oni,Uta,G-F,23.78,54,9.6,6,0.833,11,0.455,88,0.341,1.9,1.6,0.5,0.2,0.15,0.3,4.8
Cedi Osman,Cle,F,26.11,59,25.6,95,0.8,262,0.458,324,0.306,10.4,3.4,2.9,0.9,0.15,1.36,7.3
Daniel Oturu,Lac,C,21.66,30,5.4,12,0.75,47,0.447,5,0.2,1.8,1.6,0.3,0.17,0.23,0.3,7.1
Kelly Oubre Jr.,Gol,F-G,25.44,55,30.7,177,0.695,439,0.519,285,0.316,15.4,6,1.3,1.04,0.76,1.27,6.4
Jabari Parker,Sac,F,26.17,3,9.1,0,0,6,0.667,1,0,2.7,2,0.3,0,0.33,1,5.2
Jabari Parker,Bos,F,26.17,10,13.8,13,0.769,38,0.632,10,0.2,6.4,3.6,1,0.1,0.4,0.7,8.2
Eric Paschall,Gol,F,24.53,40,17.4,94,0.713,244,0.533,54,0.333,9.5,3.2,1.3,0.3,0.18,1.08,7.8
Anzejs Pasecniks,Was,C-F,25.41,1,6.3,0,0,0,0,1,0,0,1,1,0,0,5,0
Patrick Patterson,Lac,F,32.18,38,15.3,17,0.765,53,0.604,112,0.357,5.2,2,0.8,0.37,0.21,0.29,5.3
Justin Patton,Hou,C,23.92,13,19,4,0.75,36,0.556,34,0.265,5.4,3.8,1.1,0.92,1.08,0.31,5.9
Chris Paul,Pho,G,36.03,70,31.4,181,0.934,621,0.543,258,0.395,16.4,4.4,8.9,1.43,0.26,2.23,11
Cameron Payne,Pho,G,26.77,60,18,56,0.893,229,0.515,166,0.44,8.4,2.4,3.6,0.6,0.27,1,9.3
Gary Payton II,Gol,G,28.46,10,4,4,0.75,9,0.889,4,0.5,2.5,1.1,0.1,0.6,0.1,0.1,6.5
Elfrid Payton,Nyk,G,27.23,63,23.6,107,0.682,524,0.46,98,0.286,10.1,3.4,3.2,0.75,0.14,1.63,8.1
Norvel Pelle,Bro,C,28.28,3,9.3,0,0,7,0.429,0,0,2,2.3,0,0,1,1,0
Norvel Pelle,Sac,C,28.28,1,3.8,4,0.75,1,0,0,0,3,1,1,0,0,0,15.2
Norvel Pelle,Nyk,C,28.28,9,5.8,2,0.5,7,0.714,0,0,1.2,1.2,0.1,0.11,0.67,0,3.6
Reggie Perry,Bro,F-C,21.15,26,8.1,13,0.769,57,0.491,21,0.19,3,2.8,0.5,0.23,0.23,0.58,8
Theo Pinson,Nyk,G-F,25.53,17,2,0,0,1,1,8,0,0.1,0.3,0.1,0,0,0.06,2.9
Mason Plumlee,Det,F-C,31.2,56,26.8,169,0.669,373,0.627,7,0,10.4,9.3,3.6,0.77,0.89,1.88,10.5
Jakob Poeltl,San,C,25.59,69,26.7,124,0.508,430,0.616,0,0,8.6,7.9,1.9,0.68,1.78,1.22,7.6
Vincent Poirier,Phi,C-F,27.58,10,3.9,6,0.333,11,0.273,1,0,0.8,1.3,0.2,0,0.3,0.3,6.1
Aleksej Pokusevski,Okc,C,19.39,45,24.2,42,0.738,201,0.403,207,0.28,8.2,4.7,2.2,0.44,0.93,2.2,7.3
Jordan Poole,Gol,G,21.91,51,19.4,119,0.882,198,0.545,276,0.351,12,1.8,1.9,0.51,0.18,1,7.1
Kevin Porter Jr.,Hou,G-F,21.03,26,32.1,94,0.734,206,0.515,161,0.311,16.6,3.8,6.3,0.73,0.31,3.5,9.2
Michael Porter Jr.,Den,F,22.88,61,31.3,134,0.791,435,0.628,382,0.445,19,7.3,1.1,0.66,0.89,1.28,6.8
Otto Porter Jr.,Chi,F,27.95,25,21.6,37,0.838,107,0.477,95,0.4,9.9,5.5,2,0.48,0.16,1,8.8
Otto Porter Jr.,Orl,F,27.95,3,22.2,5,1,16,0.5,9,0.111,8,4.7,1.7,1.33,0,0,7.2
Jontay Porter,Mem,C-F,21.5,11,4.9,5,0.6,7,0.714,8,0.375,2,1.3,0.1,0.27,0.09,0.64,5.2
Bobby Portis,Mil,F,26.26,66,20.8,73,0.74,442,0.541,157,0.471,11.4,7.1,1.1,0.79,0.39,0.85,8.6
Kristaps Porzingis,Dal,F-C,25.79,43,30.9,138,0.855,425,0.536,258,0.376,20.1,8.9,1.6,0.47,1.35,1.19,8.5
Dwight Powell,Dal,F-C,29.83,58,16.6,124,0.782,173,0.665,21,0.238,5.9,4.1,1.1,0.6,0.52,0.69,7.2
Norman Powell,Tor,G,27.98,42,30.4,163,0.865,297,0.552,269,0.439,19.6,3,1.8,1.12,0.19,1.83,6.2
Norman Powell,Por,G,27.98,27,34.4,108,0.88,205,0.502,147,0.361,17,3.3,1.9,1.3,0.37,1.59,5.5
Taurean Prince,Bro,F,27.15,12,18.2,27,0.889,37,0.459,37,0.351,8.1,2.8,0.6,0.67,0.67,0.92,5.2
Taurean Prince,Cle,G,27.15,29,23.7,49,0.837,135,0.385,118,0.415,10.1,3.7,2.4,0.69,0.52,1.24,7.6
Payton Pritchard,Bos,G,23.3,66,19.2,45,0.889,170,0.482,248,0.411,7.7,2.4,1.8,0.56,0.14,0.8,6.7
Immanuel Quickley,Nyk,G,21.92,64,19.4,174,0.891,277,0.401,303,0.389,11.4,2.1,2,0.47,0.19,0.91,7.5
Jahmi'us Ramsey,Sac,G,19.94,13,7.3,5,1,19,0.526,19,0.263,3.1,0.8,0.5,0.31,0.08,0.23,5.9
Chasson Randle,Orl,G,28.28,41,20.4,48,0.792,107,0.449,130,0.338,6.5,2,1.8,0.56,0.12,1.12,5.6
Julius Randle,Nyk,F-C,26.46,71,37.6,429,0.811,933,0.474,389,0.411,24.1,10.2,6,0.9,0.25,3.38,12.1
Cam Reddish,Atl,F-G,21.71,26,28.9,82,0.817,137,0.46,126,0.262,11.2,4,1.3,1.27,0.35,1.31,5.4
JJ Redick,Nor,G,36.89,31,18.6,47,0.957,74,0.486,140,0.364,8.7,1.7,1.3,0.29,0.06,0.81,5.8
JJ Redick,Dal,G,36.89,13,11.3,5,0.8,15,0.267,38,0.395,4.4,0.9,0.8,0.15,0.08,0.85,5.2
Paul Reed,Phi,F,21.92,26,6.8,8,0.5,72,0.583,6,0,3.4,2.3,0.5,0.38,0.5,0.46,9.3
Naz Reid,Min,C-F,21.72,70,19.2,166,0.693,407,0.597,174,0.351,11.2,4.6,1,0.49,1.07,0.99,7.8
Cameron Reynolds,San,F,26.27,3,2.1,0,0,2,0.5,0,0,0.7,0,0,0,0,0,0
Cameron Reynolds,Hou,F,26.27,2,17.2,0,0,4,0.5,12,0.25,6.5,2.5,1,0,0,0,5.9
