NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Charles Bassey,Phi,C-F,21.2,18,8,16.6,15,14.6,11,0.727,33,0.727,3,0,0.667,0.686,3.1,3,20.8,0.3,6.5,0.22,0.83,0.39,7,133.3,88.8
,Paris Bass,Pho,F,26.37,2,3.7,7.7,51.6,22.5,2,1,4,0.5,2,0,0.333,0.436,3,2,28.3,0,0,0.5,0,1,0,,
,Keita Bates-Diop,San,F,25.97,32,16.8,35.1,14,15.1,36,0.667,109,0.578,27,0.296,0.551,0.573,5.4,4.1,12.7,0.6,4.9,0.5,0.34,0.84,5.6,107.3,106.7
,Nicolas Batum,Lac,G-F,33.08,22,25.5,53.2,12.6,11.8,12,0.5,30,0.8,107,0.393,0.635,0.633,8.2,4.6,9.4,1.6,9,1.05,0.77,0.86,6.2,116.1,104.7
,Kent Bazemore,Lal,G-F,32.53,24,17,35.4,12,7,13,0.769,47,0.319,54,0.333,0.416,0.44,3.9,2,6.2,0.9,6.7,0.83,0.25,0.33,4.5,95.4,100.7
,Darius Bazley,Okc,F-G,21.58,34,26.4,55,17.9,13.5,69,0.623,175,0.463,116,0.267,0.438,0.464,8.8,6.3,12,1.2,7,0.76,1.29,1.47,6.1,90.2,107.9
,Bradley Beal,Was,G,28.54,34,36,75,31.5,13.1,169,0.84,491,0.515,188,0.298,0.496,0.542,24,4.7,7.1,6.4,30.9,0.88,0.35,3.35,10,105.9,109
,Malik Beasley,Min,G,25.12,40,27.1,56.5,20.3,6.3,27,0.741,132,0.455,350,0.337,0.492,0.5,12.4,3.2,6.1,1.7,9.3,0.63,0.13,0.83,6,102.9,110.8
,Jordan Bell,Chi,F,27.01,1,2,4.2,0,,0,0,0,0,0,0,,,0,1,27.6,0,0,1,0,0,0,,
,DeAndre' Bembry,Bro,G-F,27.52,35,19.8,41.3,11.6,12.4,26,0.577,125,0.616,26,0.462,0.629,0.631,5.9,3.2,8.5,1.2,8.6,1.03,0.54,0.66,5.7,119.9,100.2
,Davis Bertans,Was,F,29.16,27,15.9,33.1,18,7.5,29,0.931,25,0.48,123,0.341,0.507,0.551,6.6,2,6.7,0.6,5,0.41,0.11,0.48,5,107,104.1
,Patrick Beverley,Min,G,33.5,27,26.7,55.6,15.4,12.4,47,0.702,102,0.529,110,0.327,0.509,0.535,9.2,4.6,8.9,5.2,27.8,1.04,0.89,1.22,9,120.2,101.4
,Saddiq Bey,Det,F,22.76,39,33.7,70.3,21,9,110,0.836,265,0.43,273,0.333,0.466,0.506,15.2,6.3,10.1,2.5,12,0.95,0.18,1.49,7.4,103.3,110
,Khem Birch,Tor,C,29.29,21,21.6,45,12.3,11.5,40,0.725,91,0.538,7,0,0.5,0.549,6,5.3,13.3,1.2,7.9,0.86,0.52,0.71,6.2,123.6,105.3
,Goga Bitadze,Ind,C-F,22.48,21,8.1,16.8,19.2,10.7,18,0.611,31,0.484,28,0.143,0.356,0.396,2.5,2.2,15,0.1,2.5,0.48,0.52,0.38,4,91.1,92.1
,Bismack Biyombo,Pho,C,29.37,3,20.2,42.1,13.1,0,8,0.625,15,0.733,0,0,0.733,0.729,9,5,12.9,1.3,9.4,1,2.33,0,7.7,162.1,97
,Nemanja Bjelica,Gol,F,33.67,39,15,31.4,20.1,16.2,46,0.674,107,0.533,100,0.37,0.543,0.563,6.6,3.8,14,1.5,14.8,0.62,0.33,1.13,8.9,106.6,93.8
,Eric Bledsoe,Lac,G,32.09,41,26.7,55.5,19.8,18.6,90,0.778,238,0.487,125,0.312,0.481,0.52,10.2,3.6,7,4,22.7,1.32,0.39,2.24,7.9,99.5,104.2
,Keljin Blevins,Por,G,26.13,3,4.7,9.8,18.5,33.3,0,0,1,0,3,0.667,0.75,0.75,2,0.3,3.9,0.3,10.6,0,0,0.67,4.8,94.1,122.5
,Bojan Bogdanovic,Uta,F,32.74,40,30.5,63.5,22.8,10.7,147,0.864,255,0.557,256,0.41,0.586,0.631,18.2,4.2,7.4,1.6,8,0.48,0.03,1.73,6.5,119.5,108.1
,Bogdan Bogdanovic,Atl,G,29.4,26,28.8,60,18.6,7.8,31,0.742,122,0.484,158,0.367,0.521,0.536,12.1,3.7,7,2.5,12.5,0.73,0.19,0.96,6.7,108.8,111.1
,Bol Bol,Den,C-F,22.15,13,6.2,12.9,17.8,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.7,0.4,9.6,0.08,0.15,0.31,7.4,109.5,107.5
