Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Mar 28, 2022",7:30p,Sacramento Kings,,Miami Heat,,,,,
"Mon, Mar 28, 2022",7:30p,Chicago Bulls,,New York Knicks,,,,,
"Mon, Mar 28, 2022",7:30p,Boston Celtics,,Toronto Raptors,,,,,
"Mon, Mar 28, 2022",8:00p,San Antonio Spurs,,Houston Rockets,,,,,
"Mon, Mar 28, 2022",8:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
"Mon, Mar 28, 2022",10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
"Tue, Mar 29, 2022",7:00p,Milwaukee Bucks,,Philadelphia 76ers,,,,,
"Tue, Mar 29, 2022",7:00p,Chicago Bulls,,Washington Wizards,,,,,
"Tue, Mar 29, 2022",7:30p,Detroit Pistons,,Brooklyn Nets,,,,,
"Tue, Mar 29, 2022",7:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
"Tue, Mar 29, 2022",10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
"Wed, Mar 30, 2022",7:00p,Dallas Mavericks,,Cleveland Cavaliers,,,,,
"Wed, Mar 30, 2022",7:00p,Denver Nuggets,,Indiana Pacers,,,,,
"Wed, Mar 30, 2022",7:00p,Orlando Magic,,Washington Wizards,,,,,
"Wed, Mar 30, 2022",7:30p,Miami Heat,,Boston Celtics,,,,,
"Wed, Mar 30, 2022",7:30p,Charlotte Hornets,,New York Knicks,,,,,
"Wed, Mar 30, 2022",7:30p,Minnesota Timberwolves,,Toronto Raptors,,,,,
"Wed, Mar 30, 2022",8:00p,Sacramento Kings,,Houston Rockets,,,,,
"Wed, Mar 30, 2022",8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
"Wed, Mar 30, 2022",8:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
"Wed, Mar 30, 2022",10:00p,Phoenix Suns,,Golden State Warriors,,,,,
"Wed, Mar 30, 2022",10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,,,
"Thu, Mar 31, 2022",7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
"Thu, Mar 31, 2022",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
"Thu, Mar 31, 2022",7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
"Thu, Mar 31, 2022",8:00p,Los Angeles Clippers,,Chicago Bulls,,,,,
"Thu, Mar 31, 2022",10:00p,Los Angeles Lakers,,Utah Jazz,,,,,
