Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Jan 26, 2022",7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
"Wed, Jan 26, 2022",7:00p,Los Angeles Clippers,,Orlando Magic,,,,,
"Wed, Jan 26, 2022",7:30p,Sacramento Kings,,Atlanta Hawks,,,,,
"Wed, Jan 26, 2022",7:30p,Denver Nuggets,,Brooklyn Nets,,,,,
"Wed, Jan 26, 2022",7:30p,New York Knicks,,Miami Heat,,,,,
"Wed, Jan 26, 2022",7:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
"Wed, Jan 26, 2022",8:00p,Toronto Raptors,,Chicago Bulls,,,,,
"Wed, Jan 26, 2022",10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,
"Wed, Jan 26, 2022",10:00p,Phoenix Suns,,Utah Jazz,,,,,
"Thu, Jan 27, 2022",7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
"Thu, Jan 27, 2022",10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
"Fri, Jan 28, 2022",7:00p,Los Angeles Lakers,,Charlotte Hornets,,,,,
"Fri, Jan 28, 2022",7:00p,Detroit Pistons,,Orlando Magic,,,,,
"Fri, Jan 28, 2022",7:30p,Boston Celtics,,Atlanta Hawks,,,,,
"Fri, Jan 28, 2022",8:00p,Portland Trail Blazers,,Houston Rockets,,,,,
"Fri, Jan 28, 2022",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,
"Fri, Jan 28, 2022",8:00p,Los Angeles Clippers,,Miami Heat,,,,,
"Fri, Jan 28, 2022",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
"Fri, Jan 28, 2022",8:00p,Indiana Pacers,,Oklahoma City Thunder,,,,,
"Fri, Jan 28, 2022",8:30p,Chicago Bulls,,San Antonio Spurs,,,,,
"Fri, Jan 28, 2022",9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,
"Fri, Jan 28, 2022",10:00p,New York Knicks,,Milwaukee Bucks,,,,,
"Sat, Jan 29, 2022",7:00p,Indiana Pacers,,Dallas Mavericks,,,,,
"Sat, Jan 29, 2022",7:00p,Boston Celtics,,New Orleans Pelicans,,,,,
"Sat, Jan 29, 2022",7:30p,Sacramento Kings,,Philadelphia 76ers,,,,,
"Sat, Jan 29, 2022",8:00p,Washington Wizards,,Memphis Grizzlies,,,,,
"Sat, Jan 29, 2022",8:00p,Toronto Raptors,,Miami Heat,,,,,
"Sat, Jan 29, 2022",8:30p,Brooklyn Nets,,Golden State Warriors,,,,,
"Sun, Jan 30, 2022",1:00p,Los Angeles Lakers,,Atlanta Hawks,,,,,
"Sun, Jan 30, 2022",1:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,
"Sun, Jan 30, 2022",3:30p,Portland Trail Blazers,,Chicago Bulls,,,,,
"Sun, Jan 30, 2022",6:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
"Sun, Jan 30, 2022",7:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
"Sun, Jan 30, 2022",7:00p,Dallas Mavericks,,Orlando Magic,,,,,
"Sun, Jan 30, 2022",8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
"Sun, Jan 30, 2022",8:00p,San Antonio Spurs,,Phoenix Suns,,,,,
"Mon, Jan 31, 2022",7:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,
"Mon, Jan 31, 2022",7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,
"Mon, Jan 31, 2022",7:00p,Memphis Grizzlies,,Philadelphia 76ers,,,,,
"Mon, Jan 31, 2022",7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
"Mon, Jan 31, 2022",7:30p,Miami Heat,,Boston Celtics,,,,,
"Mon, Jan 31, 2022",7:30p,Sacramento Kings,,New York Knicks,,,,,
"Mon, Jan 31, 2022",8:00p,Golden State Warriors,,Houston Rockets,,,,,
"Mon, Jan 31, 2022",8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
